station_id,first_date,last_date,n_observed_days,n_missing_days,history_days,total_demand,history_group,is_short_history,is_zero_almost_always,appears_active_recently
4443,2019-09-12,2024-12-31,1938,0,1938,3969.0,mature,False,False,True
4444,2019-09-18,2024-12-31,1932,0,1932,6876.0,mature,False,False,True
4445,2019-09-18,2024-12-31,1932,0,1932,5164.0,mature,False,False,True
4446,2019-10-06,2024-12-31,1914,0,1914,5479.0,mature,False,False,True
4447,2019-10-03,2024-12-31,1917,0,1917,6540.0,mature,False,False,True
4448,2019-10-04,2024-12-31,1916,0,1916,5873.0,mature,False,False,True
4449,2019-09-26,2024-12-31,1924,0,1924,5440.0,mature,False,False,True
4450,2019-11-15,2024-12-29,1872,0,1872,5101.0,mature,False,False,True
4451,2019-10-09,2024-12-30,1910,0,1910,2196.0,mature,False,False,True
4452,2019-10-10,2024-12-31,1910,0,1910,1864.0,mature,False,False,True
4453,2019-09-25,2024-12-31,1925,0,1925,2455.0,mature,False,False,True
4454,2019-11-07,2024-12-31,1882,0,1882,7044.0,mature,False,False,True
4455,2019-11-19,2024-12-31,1870,0,1870,4716.0,mature,False,False,True
4456,2019-11-09,2024-12-30,1879,0,1879,3991.0,mature,False,False,True
4457,2019-11-06,2024-12-30,1882,0,1882,1997.0,mature,False,False,True
4458,2019-10-16,2020-08-29,319,0,319,262.0,young,True,False,False
4459,2019-10-20,2020-09-26,343,0,343,247.0,young,True,False,False
4460,2019-10-19,2020-09-23,341,0,341,367.0,young,True,False,False
4461,2019-10-18,2020-09-20,339,0,339,249.0,young,True,False,False
4462,2019-10-23,2020-09-07,321,0,321,175.0,young,True,False,False
4463,2019-10-19,2021-07-06,627,0,627,196.0,mature,False,False,False
4469,2019-11-07,2020-09-26,325,0,325,391.0,young,True,False,False
4470,2019-11-06,2020-09-26,326,0,326,503.0,young,True,False,False
4472,2019-11-21,2024-12-30,1867,0,1867,3789.0,mature,False,False,True
4473,2019-12-01,2024-12-31,1858,0,1858,2595.0,mature,False,False,True
4474,2020-01-17,2024-12-31,1811,0,1811,3979.0,mature,False,False,True
4475,2020-01-16,2024-12-31,1812,0,1812,7869.0,mature,False,False,True
4476,2020-02-20,2024-12-31,1777,0,1777,5181.0,mature,False,False,True
4477,2021-09-28,2024-12-30,1190,0,1190,1842.0,mature,False,False,True
4478,2020-01-10,2024-12-31,1818,0,1818,2344.0,mature,False,False,True
4479,2020-01-13,2024-12-30,1814,0,1814,6578.0,mature,False,False,True
4480,2019-11-07,2024-12-28,1879,0,1879,2841.0,mature,False,False,True
4482,2019-11-18,2024-12-28,1868,0,1868,5489.0,mature,False,False,True
4483,2019-11-23,2024-12-31,1866,0,1866,5772.0,mature,False,False,True
4484,2019-12-07,2020-09-26,295,0,295,442.0,young,True,False,False
4486,2021-02-03,2024-12-31,1428,0,1428,4834.0,mature,False,False,True
4487,2022-01-16,2024-12-31,1081,0,1081,8549.0,mature,False,False,True
4490,2019-12-31,2024-12-31,1828,0,1828,4753.0,mature,False,False,True
4491,2019-12-11,2024-12-31,1848,0,1848,20692.0,mature,False,False,True
4492,2021-05-06,2024-12-27,1332,0,1332,4024.0,mature,False,False,True
4493,2019-12-18,2024-12-31,1841,0,1841,5073.0,mature,False,False,True
4494,2020-01-08,2024-12-31,1820,0,1820,4155.0,mature,False,False,True
4496,2020-03-03,2020-07-26,146,0,146,305.0,young,True,False,False
4497,2020-04-15,2021-08-18,491,0,491,197.0,mature,False,False,False
4498,2020-04-22,2021-10-21,548,0,548,96.0,mature,False,False,False
4499,2020-03-08,2021-08-31,542,0,542,120.0,mature,False,False,False
4500,2020-03-07,2021-07-30,511,0,511,116.0,mature,False,False,False
4502,2020-05-07,2021-10-27,539,0,539,182.0,mature,False,False,False
4503,2020-02-26,2020-09-09,197,0,197,139.0,young,True,False,False
4504,2020-02-21,2020-09-26,219,0,219,703.0,young,True,False,False
4505,2020-02-16,2020-07-14,150,0,150,98.0,young,True,False,False
4508,2020-02-23,2020-02-23,1,0,1,72.0,newborn,True,False,False
4509,2020-08-07,2024-12-31,1608,0,1608,6292.0,mature,False,False,True
4510,2020-08-13,2024-12-31,1602,0,1602,4696.0,mature,False,False,True
4511,2020-10-12,2024-12-31,1542,0,1542,3465.0,mature,False,False,True
4512,2020-05-12,2024-12-31,1695,0,1695,8934.0,mature,False,False,True
4513,2020-09-24,2024-07-30,1406,0,1406,2489.0,mature,False,False,False
4514,2022-08-21,2024-12-30,863,0,863,5331.0,mature,False,False,True
4515,2022-03-18,2024-12-31,1020,0,1020,3705.0,mature,False,False,True
4516,2020-07-16,2024-05-15,1400,0,1400,9113.0,mature,False,False,False
4517,2021-10-07,2024-12-29,1180,0,1180,2990.0,mature,False,False,True
4518,2020-07-21,2024-12-31,1625,0,1625,4213.0,mature,False,False,True
4521,2021-03-05,2024-12-30,1397,0,1397,2681.0,mature,False,False,True
4523,2020-04-23,2024-12-31,1714,0,1714,4532.0,mature,False,False,True
4524,2020-04-17,2024-12-31,1720,0,1720,7529.0,mature,False,False,True
4525,2021-10-01,2024-12-31,1188,0,1188,3263.0,mature,False,False,True
4526,2021-09-28,2024-12-31,1191,0,1191,2137.0,mature,False,False,True
4527,2021-10-08,2024-12-31,1181,0,1181,1484.0,mature,False,False,True
4528,2021-12-15,2024-12-31,1113,0,1113,7006.0,mature,False,False,True
4529,2021-10-03,2024-12-31,1186,0,1186,1969.0,mature,False,False,True
4534,2021-10-06,2024-12-31,1183,0,1183,3582.0,mature,False,False,True
4536,2020-12-11,2024-12-31,1482,0,1482,5827.0,mature,False,False,True
4537,2021-09-29,2024-12-31,1190,0,1190,3787.0,mature,False,False,True
4538,2020-07-09,2024-12-31,1637,0,1637,4179.0,mature,False,False,True
4539,2021-10-03,2024-01-03,823,0,823,1860.0,mature,False,False,False
4540,2020-09-10,2024-12-31,1574,0,1574,3652.0,mature,False,False,True
4541,2020-07-16,2020-09-17,64,0,64,22.0,newborn,True,False,False
4542,2020-07-30,2020-09-26,59,0,59,83.0,newborn,True,False,False
4543,2020-10-21,2024-12-31,1533,0,1533,25169.0,mature,False,False,True
4544,2020-10-21,2024-12-31,1533,0,1533,20285.0,mature,False,False,True
4545,2020-10-24,2024-12-31,1530,0,1530,6735.0,mature,False,False,True
4546,2020-11-28,2024-12-31,1495,0,1495,6663.0,mature,False,False,True
4547,2021-03-05,2024-12-31,1398,0,1398,4690.0,mature,False,False,True
4548,2021-02-03,2024-12-31,1428,0,1428,8310.0,mature,False,False,True
4549,2020-12-12,2024-12-31,1481,0,1481,4052.0,mature,False,False,True
4552,2021-07-15,2024-12-31,1266,0,1266,2863.0,mature,False,False,True
4553,2021-01-15,2024-12-31,1447,0,1447,4561.0,mature,False,False,True
4554,2020-11-19,2024-12-31,1504,0,1504,4881.0,mature,False,False,True
4555,2020-12-05,2024-12-31,1488,0,1488,3975.0,mature,False,False,True
4556,2020-11-14,2024-12-31,1509,0,1509,3278.0,mature,False,False,True
4557,2020-12-03,2024-12-31,1490,0,1490,2235.0,mature,False,False,True
4558,2020-10-21,2024-12-31,1533,0,1533,15512.0,mature,False,False,True
4559,2020-12-19,2024-12-26,1469,0,1469,1452.0,mature,False,False,True
4560,2020-11-29,2024-10-15,1417,0,1417,1226.0,mature,False,False,True
4561,2021-01-16,2024-12-31,1446,0,1446,3225.0,mature,False,False,True
4562,2021-01-15,2024-12-31,1447,0,1447,3414.0,mature,False,False,True
4563,2020-10-24,2024-12-31,1530,0,1530,7890.0,mature,False,False,True
4564,2020-11-21,2024-12-31,1502,0,1502,5980.0,mature,False,False,True
4565,2021-03-21,2024-12-31,1382,0,1382,2096.0,mature,False,False,True
4566,2020-12-08,2024-12-31,1485,0,1485,7579.0,mature,False,False,True
4567,2020-12-01,2024-12-31,1492,0,1492,4985.0,mature,False,False,True
4568,2020-10-23,2024-12-31,1531,0,1531,6516.0,mature,False,False,True
4569,2020-12-04,2024-12-31,1489,0,1489,3458.0,mature,False,False,True
4570,2020-12-01,2024-12-30,1491,0,1491,4299.0,mature,False,False,True
4571,2020-11-21,2024-12-31,1502,0,1502,2890.0,mature,False,False,True
4572,2020-11-28,2024-12-31,1495,0,1495,2661.0,mature,False,False,True
4573,2020-12-04,2024-12-31,1489,0,1489,2732.0,mature,False,False,True
4575,2021-03-18,2024-12-31,1385,0,1385,4917.0,mature,False,False,True
4576,2021-04-21,2024-12-31,1351,0,1351,4764.0,mature,False,False,True
4577,2020-12-13,2024-12-31,1480,0,1480,1637.0,mature,False,False,True
4578,2021-07-03,2024-12-31,1278,0,1278,11022.0,mature,False,False,True
4579,2021-04-15,2024-12-30,1356,0,1356,1941.0,mature,False,False,True
4580,2020-11-30,2024-12-28,1490,0,1490,2243.0,mature,False,False,True
4581,2021-02-06,2024-12-31,1425,0,1425,6098.0,mature,False,False,True
4582,2020-11-13,2024-12-31,1510,0,1510,1840.0,mature,False,False,True
4583,2020-11-07,2024-12-31,1516,0,1516,5292.0,mature,False,False,True
4584,2021-10-06,2024-12-28,1180,0,1180,4835.0,mature,False,False,True
4587,2021-04-22,2024-12-31,1350,0,1350,5687.0,mature,False,False,True
4593,2021-12-05,2021-12-05,1,0,1,69.0,newborn,True,False,False
4594,2021-12-05,2021-12-05,1,0,1,46.0,newborn,True,False,False
4595,2022-03-06,2024-12-31,1032,0,1032,925.0,mature,False,False,True
4596,2022-03-06,2024-12-28,1029,0,1029,1089.0,mature,False,False,True
4597,2022-03-06,2024-12-31,1032,0,1032,1489.0,mature,False,False,True
4598,2022-03-06,2024-12-30,1031,0,1031,701.0,mature,False,False,True
4599,2022-03-10,2024-12-30,1027,0,1027,2352.0,mature,False,False,True
4600,2022-03-07,2024-12-28,1028,0,1028,829.0,mature,False,False,True
4601,2022-03-11,2024-12-31,1027,0,1027,1093.0,mature,False,False,True
4602,2022-03-08,2024-12-22,1021,0,1021,1063.0,mature,False,False,False
4603,2022-03-10,2024-12-31,1028,0,1028,549.0,mature,False,False,True
4604,2022-03-06,2024-12-30,1031,0,1031,1076.0,mature,False,False,True
4605,2022-03-11,2024-12-28,1024,0,1024,1055.0,mature,False,False,True
4606,2022-03-04,2024-12-31,1034,0,1034,3411.0,mature,False,False,True
4613,2022-02-16,2024-12-31,1050,0,1050,12087.0,mature,False,False,True
4614,2022-02-26,2024-12-30,1039,0,1039,7840.0,mature,False,False,True
4623,2022-07-10,2022-07-10,1,0,1,25.0,newborn,True,False,False
4624,2022-07-10,2022-07-10,1,0,1,1.0,newborn,True,False,False
4625,2022-07-10,2024-06-23,715,0,715,108.0,mature,False,True,False
4626,2022-07-08,2022-07-10,3,0,3,40.0,newborn,True,False,False
4627,2022-07-14,2024-12-31,902,0,902,5039.0,mature,False,False,True
4628,2022-10-19,2024-12-30,804,0,804,1865.0,mature,False,False,True
4629,2022-08-21,2024-08-18,729,0,729,260.0,mature,False,True,False
4631,2022-08-21,2022-08-21,1,0,1,4.0,newborn,True,False,False
4632,2022-09-15,2024-12-31,839,0,839,6268.0,mature,False,False,True
4633,2022-10-09,2022-10-09,1,0,1,100.0,newborn,True,False,False
4634,2022-10-09,2023-10-15,372,0,372,228.0,mature,False,True,False
4636,2023-10-15,2023-10-15,1,0,1,3.0,newborn,True,False,False
4638,2022-12-04,2022-12-04,1,0,1,65.0,newborn,True,False,False
4643,2023-02-17,2024-12-30,683,0,683,10720.0,mature,False,False,True
4644,2023-02-20,2024-12-30,680,0,680,6266.0,mature,False,False,True
4645,2023-03-17,2024-12-31,656,0,656,2896.0,mature,False,False,True
4646,2023-04-16,2023-04-16,1,0,1,94.0,newborn,True,False,False
4647,2023-04-16,2023-04-16,1,0,1,87.0,newborn,True,False,False
4648,2023-04-16,2023-04-16,1,0,1,10.0,newborn,True,False,False
4650,2023-05-21,2023-05-21,1,0,1,19.0,newborn,True,False,False
4651,2023-05-21,2023-05-21,1,0,1,1.0,newborn,True,False,False
4652,2023-05-31,2024-12-31,581,0,581,3139.0,mature,False,False,True
4654,2023-06-03,2023-06-03,1,0,1,9.0,newborn,True,False,False
4655,2023-06-18,2023-06-18,1,0,1,77.0,newborn,True,False,False
4660,2023-09-14,2024-12-31,475,0,475,2163.0,mature,False,False,True
4661,2023-12-03,2023-12-03,1,0,1,35.0,newborn,True,False,False
4662,2023-12-03,2023-12-03,1,0,1,36.0,newborn,True,False,False
4663,2023-12-03,2023-12-03,1,0,1,1.0,newborn,True,False,False
4664,2024-01-03,2024-12-31,364,0,364,1312.0,young,True,False,True
4665,2024-01-04,2024-01-04,1,0,1,1.0,newborn,True,False,False
4667,2024-02-23,2024-02-25,3,0,3,82.0,newborn,True,False,False
4669,2024-04-11,2024-05-23,43,0,43,436.0,newborn,True,False,False
4670,2024-04-21,2024-04-21,1,0,1,128.0,newborn,True,False,False
4671,2024-04-21,2024-04-21,1,0,1,13.0,newborn,True,False,False
4672,2024-05-24,2024-12-31,222,0,222,4498.0,young,True,False,True
4675,2024-06-21,2024-06-23,3,0,3,53.0,newborn,True,False,False
4678,2024-06-23,2024-06-23,1,0,1,10.0,newborn,True,False,False
4680,2024-07-18,2024-12-30,166,0,166,1171.0,young,True,False,True
4682,2024-08-18,2024-08-18,1,0,1,8.0,newborn,True,False,False
4684,2024-09-15,2024-09-15,1,0,1,26.0,newborn,True,False,False
4686,2024-10-13,2024-10-13,1,0,1,69.0,newborn,True,False,False
4687,2024-10-13,2024-10-13,1,0,1,51.0,newborn,True,False,False
4689,2024-10-16,2024-12-25,71,0,71,64.0,newborn,True,False,True
