station_id,history_group,station_category,cluster_label,is_short_history,is_zero_almost_always,appears_active_recently
4202,mature,weekend_leisure,cluster_3,False,False,True
4204,mature,weekend_leisure,cluster_3,False,False,True
4205,mature,weekend_leisure,cluster_2,False,False,True
4206,mature,weekend_leisure,cluster_2,False,False,True
4207,mature,weekend_leisure,cluster_2,False,False,True
4208,mature,weekend_leisure,cluster_2,False,False,True
4209,mature,weekend_leisure,cluster_1,False,False,True
4210,mature,weekend_leisure,cluster_1,False,False,True
4211,mature,weekend_leisure,cluster_1,False,False,True
4212,mature,weekend_leisure,cluster_1,False,False,True
4213,mature,weekend_leisure,cluster_3,False,False,True
4214,mature,weekend_leisure,cluster_1,False,False,True
4215,mature,weekend_leisure,cluster_1,False,False,True
4216,mature,weekend_leisure,cluster_2,False,False,True
4217,mature,mixed_profile,cluster_2,False,False,True
4220,mature,busy_stable,cluster_2,False,False,True
4227,mature,mixed_profile,cluster_2,False,False,True
4245,mature,anomaly_heavy,cluster_1,False,False,True
4246,mature,mixed_profile,cluster_2,False,False,True
4247,mature,mixed_profile,cluster_2,False,False,True
4248,mature,mixed_profile,cluster_2,False,False,True
4249,mature,mixed_profile,cluster_2,False,False,True
4250,mature,mixed_profile,cluster_1,False,False,True
4254,mature,mixed_profile,cluster_2,False,False,True
4255,mature,weekend_leisure,cluster_4,False,False,True
4266,mature,mixed_profile,cluster_2,False,False,True
4267,mature,mixed_profile,cluster_2,False,False,True
4273,mature,busy_stable,cluster_1,False,False,True
4275,mature,weekend_leisure,cluster_3,False,False,True
4293,mature,mixed_profile,cluster_2,False,False,True
4300,mature,mixed_profile,cluster_2,False,False,True
4301,mature,mixed_profile,cluster_2,False,False,True
4302,mature,weekend_leisure,cluster_4,False,False,True
4303,mature,mixed_profile,cluster_4,False,False,True
4304,mature,busy_stable,cluster_2,False,False,True
4306,mature,mixed_profile,cluster_2,False,False,True
4311,mature,mixed_profile,cluster_2,False,False,True
4312,mature,anomaly_heavy,cluster_2,False,False,True
4313,mature,mixed_profile,cluster_2,False,False,True
4314,mature,mixed_profile,cluster_2,False,False,True
4315,mature,busy_stable,cluster_2,False,False,True
4321,newborn,short_history,not_clustered_short_history,True,False,False
4322,mature,weekend_leisure,cluster_3,False,False,False
4323,mature,mixed_profile,cluster_4,False,False,False
4324,mature,mixed_profile,cluster_4,False,False,False
4325,mature,weekend_leisure,cluster_4,False,False,False
4327,newborn,short_history,not_clustered_short_history,True,False,False
4328,mature,sparse_intermittent,cluster_4,False,False,False
4329,mature,mixed_profile,cluster_4,False,False,False
4330,mature,weekend_leisure,cluster_3,False,False,False
4331,mature,weekend_leisure,cluster_3,False,False,False
4332,mature,sparse_intermittent,cluster_4,False,False,False
4333,mature,sparse_intermittent,cluster_4,False,False,False
4334,mature,weekend_leisure,cluster_3,False,False,False
4335,mature,weekend_leisure,cluster_3,False,False,False
4336,mature,mixed_profile,cluster_4,False,False,False
4337,mature,sparse_intermittent,cluster_4,False,False,False
4338,mature,sparse_intermittent,cluster_4,False,False,False
4340,mature,weekend_leisure,cluster_3,False,False,False
4341,mature,sparse_intermittent,cluster_4,False,False,False
4342,mature,weekend_leisure,cluster_3,False,False,False
4343,mature,mixed_profile,cluster_4,False,False,False
4344,mature,busy_stable,cluster_2,False,False,False
4345,mature,weekend_leisure,cluster_3,False,False,False
4346,mature,weekend_leisure,cluster_3,False,False,False
4347,mature,weekend_leisure,cluster_3,False,False,False
4348,mature,weekend_leisure,cluster_4,False,False,False
4349,mature,mixed_profile,cluster_2,False,False,False
4350,mature,mixed_profile,cluster_4,False,False,False
4351,mature,weekend_leisure,cluster_4,False,False,False
4352,mature,weekend_leisure,cluster_3,False,False,False
4353,mature,weekend_leisure,cluster_3,False,False,False
4354,mature,weekend_leisure,cluster_3,False,False,False
4356,newborn,short_history,not_clustered_short_history,True,False,False
4357,newborn,short_history,not_clustered_short_history,True,False,False
4362,newborn,short_history,not_clustered_short_history,True,False,False
4363,young,short_history,not_clustered_short_history,True,True,False
4369,newborn,short_history,not_clustered_short_history,True,False,False
4372,mature,mixed_profile,cluster_4,False,False,False
4373,newborn,short_history,not_clustered_short_history,True,False,False
4374,newborn,short_history,not_clustered_short_history,True,False,False
