fold_id,horizon,train_start,train_end,test_start,test_end,mae,rmse,mase,bias,model_name,fit_success,fallback_triggered,fallback_reason,exception_type,warning_count,n_train,n_exog,condition_number,model_runtime_seconds,selected_spec,used_exog_columns
2,30,2019-01-01,2024-10-16,2024-10-17,2024-11-15,155.56452331542968,192.50342535681494,1.2066583534595625,-145.86025899251302,fourier_dynamic_regression,,,,,,,,,,,
2,30,2019-01-01,2024-10-16,2024-10-17,2024-11-15,148.70510557271123,189.66197815530796,1.153452304016418,83.93390149140777,tree_boosting_fallback,,,,,,,,,,,
3,30,2019-01-01,2024-10-23,2024-10-24,2024-11-22,211.23333333333332,233.38073328076305,1.6309192634216352,180.63333333333333,naive,,,,,,,,,,,
3,30,2019-01-01,2024-10-23,2024-10-24,2024-11-22,182.4,224.05951590295527,1.4082989126468657,156.6,seasonal_naive_7,,,,,,,,,,,
3,30,2019-01-01,2024-10-23,2024-10-24,2024-11-22,273.23333333333335,389.15425390625416,2.109617358729232,252.9,seasonal_naive_30,,,,,,,,,,,
3,30,2019-01-01,2024-10-23,2024-10-24,2024-11-22,219.2359448496832,246.81215386132493,1.6927069229436242,197.79787802226363,ets,,,,,,,,,,,
3,30,2019-01-01,2024-10-23,2024-10-24,2024-11-22,120.91443923926379,152.2368583051981,0.9335727703068021,76.3487146248927,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.36693785942755,1.867085749981925,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
3,30,2019-01-01,2024-10-23,2024-10-24,2024-11-22,136.2536814371745,174.0541761527012,1.052006093268121,-122.58958638509115,fourier_dynamic_regression,,,,,,,,,,,
3,30,2019-01-01,2024-10-23,2024-10-24,2024-11-22,191.8429403668378,232.52932974891922,1.4812072605131315,156.53163906909305,tree_boosting_fallback,,,,,,,,,,,
4,30,2019-01-01,2024-10-30,2024-10-31,2024-11-29,330.8666666666667,369.9363008230832,2.557061591591373,312.26666666666665,naive,,,,,,,,,,,
4,30,2019-01-01,2024-10-30,2024-10-31,2024-11-29,218.86666666666667,277.23022923195083,1.691483619825605,173.06666666666666,seasonal_naive_7,,,,,,,,,,,
4,30,2019-01-01,2024-10-30,2024-10-31,2024-11-29,303.5,415.4932410200355,2.345561735990273,292.43333333333334,seasonal_naive_30,,,,,,,,,,,
4,30,2019-01-01,2024-10-30,2024-10-31,2024-11-29,237.91406208527235,288.8306370840658,1.8386890295921878,210.24231112712647,ets,,,,,,,,,,,
4,30,2019-01-01,2024-10-30,2024-10-31,2024-11-29,127.82659364533365,174.5537098142841,0.9878918184397759,63.30995574074936,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.366867922962925,2.145794374984689,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
4,30,2019-01-01,2024-10-30,2024-10-31,2024-11-29,132.4200907389323,172.77218915184287,1.0233920853825353,-63.68932902018229,fourier_dynamic_regression,,,,,,,,,,,
4,30,2019-01-01,2024-10-30,2024-10-31,2024-11-29,165.5284497692799,212.0085757599839,1.279265891257367,134.09141084035508,tree_boosting_fallback,,,,,,,,,,,
5,30,2019-01-01,2024-11-06,2024-11-07,2024-12-06,145.2,178.9702023615477,1.1218455846346373,-1.0666666666666667,naive,,,,,,,,,,,
5,30,2019-01-01,2024-11-06,2024-11-07,2024-12-06,275.26666666666665,351.10359344975853,2.1267678691259952,209.93333333333334,seasonal_naive_7,,,,,,,,,,,
5,30,2019-01-01,2024-11-06,2024-11-07,2024-12-06,325.6333333333333,433.91108920299945,2.5159112755499935,319.96666666666664,seasonal_naive_30,,,,,,,,,,,
5,30,2019-01-01,2024-11-06,2024-11-07,2024-12-06,205.8956594126615,257.6853663148444,1.5907929504650924,182.38566507080304,ets,,,,,,,,,,,
5,30,2019-01-01,2024-11-06,2024-11-07,2024-12-06,107.97014051897473,143.4014458718505,0.8341998995426526,37.71048453375064,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.366823619605919,2.8847809999715537,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
